name;golds;silvers;bronzes
mclain ward;0;0;0
yun cai;0;0;0
yibo ma;0;0;0
na liu;0;0;0
dave davies;0;0;0
toby ng;0;0;0
yu du;0;0;0
ye sun;0;0;0
juan gu;0;0;0
ao gao;0;0;0
hiroshi hoketsu;0;0;0
ian millar;0;0;0
afanasijs kuzmins;0;0;0
carl bouckaert;0;0;0
mary hanna;0;0;0
andrei kavalenka;0;0;0
richard davison;0;0;0
mark todd;0;0;1
peter barry;0;0;0
nick skelton;0;0;0
karen o connor;0;0;0
irada ashumova;0;0;0
jan ebeling;0;0;0
marc rigouts;0;0;0
andrew hoy;0;0;0
jaime azcarraga;0;0;0
lesley thompson-willie;0;1;0
richard fellers;0;0;0
peter charles;0;0;0
philippe le jeune;0;0;0
jos lansink;0;0;0
peter thomsen;1;0;0
mary king;0;1;0
vladimir tuganov;0;0;0
andrew nicholson;0;0;1
tina konyot;0;0;0
louisa hill;0;0;0
anne van olst;0;0;0
warren potent;0;0;0
zhiwen he;0;0;0
rolf-goran bengtsson;0;0;0
ralf schumann;0;0;0
pius schwizer;0;0;0
anna merveldt;0;0;0
jill henselwood;0;0;0
mona elhawary;0;0;0
joris van springel;0;0;0
rajmond debevec;0;0;1
glenn kable;0;0;0
denis mesples;0;0;0
paul estermann;0;0;0
xia lian ni;0;0;0
abdullah alrashidi;0;0;0
phillip dutton;0;0;0
ashley holzer;0;0;0
elizabeth madden;0;0;0
michelle mueller;0;0;0
lalita yauhleuskaya;0;0;0
russell mark;0;0;0
michael maier;0;0;0
dirk demeersman;0;0;0
steffen peters;0;0;0
josefa idem;0;0;0
joao costa;0;0;0
samuel parot;0;0;0
javier rodriguez;0;0;0
kai jahnsson;0;0;0
david j chapman;0;0;0
andrei korshunov;0;0;0
katarzyna milczarek;0;0;0
danilo caro guarnieri;0;0;0
hakan dahlby;0;1;0
karen hultzer;0;0;0
lucinda fredericks;0;0;0
jasna sekaric;0;0;0
daina gudzineviciute;0;0;0
eric uptagrafft;0;0;0
beatriz ferrer-salat;0;0;0
nathalie dielen;0;0;0
jorgen persson;0;0;0
oleksandr dryhol;0;0;0
consuelo monsegur;0;0;0
mikhail nastenko;0;0;0
lotta harrysson;0;0;0
ronald zabala-goetschel;0;0;0
fehaid aldeehani;0;0;0
khurram inam;0;0;0
antoni bernado;0;0;0
thomas farnik;0;0;0
richard bognar;0;0;0
carl hester;0;0;0
lucia liliana mihalache;0;0;0
tinne vilhelmson silfven;0;0;0
jacqueline brooks;0;0;0
arben kucana;0;0;0
clayton fredericks;0;0;0
jens fredricson;0;0;0
sergey babikov;0;0;0
anky van grunsven;0;0;0
ennio falco;0;0;0
nedzad fazlija;0;0;0
federico fernandez;0;0;0
ingrid klimke;1;0;0
stepanka hilgertova;0;0;0
eric lamaze;0;0;0
emil milev;0;0;0
sergei martynov;1;0;0
lionel guyon;0;0;0
xavier rohart;0;0;0
allan bentsen;0;0;0
maria luisa calle williams;0;0;0
anzela voronova;0;0;0
juan carlos stevens;0;0;0
richard clarke;0;0;0
nikola saranovic;0;0;0
serguei fofanoff;0;0;0
aurelien kahn;0;0;0
jose maria larocca;0;0;0
william fox-pitt;0;1;0
alena tseliapushkina;0;0;0
nino salukvadze;0;0;0
dorothee schneider;0;0;0
heidi diethelm gerber;0;0;0
frasco d aniello;0;0;0
jan sychra;0;0;0
aleksandr onishchenko;0;0;0
elena timina;0;0;0
hugo hoyama;0;0;0
zoran primorac;0;0;0
mlin kallstrom;0;0;0
michael hestbaek;0;0;0
juan manuel munoz diaz;0;0;0
munkhbayar dorjsuren;0;0;0
maxim kosarev;0;0;0
petya lukanova;0;0;0
afonso domingos;0;0;0
jur vrieling;0;0;0
jannicke stalstrom;0;0;0
emanuele guidi;0;0;0
jessica crisp;0;0;0
jesus angel garcia;0;0;0
natalia valeeva;0;0;0
jean-michel saive;0;0;0
fredrik loof;0;0;0
mikaela lindh;0;0;0
meredith michaels-beerbaum;0;0;0
giovanni pellielo;0;0;0
constantina dita;0;0;0
alessandra sensini;0;0;0
sergei kovalenko;0;0;0
kamal bahamdan;0;0;0
roger daniel;0;0;0
vladimir isakov;0;0;0
edward gal;0;0;0
tyler bjorn;0;0;0
diederik simon;0;0;0
artem khadjibekov;0;0;0
nemanja mirosavljev;0;0;0
maik eckhardt;0;0;0
tore brovold;0;0;0
yury dauhapolau;0;0;0
savva lika;0;0;0
claudia fassaert;0;0;0
andreas scherhaufer;0;0;0
maung kyu;0;0;0
sergio sanchez;0;0;0
kristina cook;0;1;0
olga dovgun;0;0;0
luciana diniz;0;0;0
maureen tuimalealiifano;0;0;0
satu makela-nummela;0;0;0
derek burnett;0;0;0
norayr bakhtamyan;0;0;0
tina gramkov;0;0;0
akemi kato;0;0;0
nasser al-attiya;0;0;1
marc houtzager;0;0;0
yingzi liu;0;0;0
sonja pfeilschifter;0;0;0
sigrid rondelez;0;0;0
patrick van der meer;0;0;0
sandra uptagrafft;0;0;0
hamish pepper;0;0;0
karin donckers;0;0;0
belinda stowell;0;0;0
samantha albert;0;0;0
stephane clamens;0;0;0
renate voglsang;0;0;0
marek kolbowicz;0;0;0
adam vella;0;0;0
berta rodriguez;0;0;0
ivan perez vargas;0;0;0
jason haldane;0;0;0
jillian terceira;0;0;0
bruno prada;0;0;0
valeriy shomin;0;0;0
majed al-tamimi;0;0;0
svetlana kiseliova;0;0;0
