participant_id;name;state;discipline
1;matelova hana;CZE;table tennis
2;smith alana;USA;skateboarding
3;malinov ofelia;ITA;volleyball
4;erislandy savon cotilla;CUB;boxing
5;mansilla humberto;CHI;athletics
6;natasha perdue;GBR;weightlifting
7;wales lachlan;AUS;football
8;tsuji sumire;JPN;fencing
9;soto manuel esteban;COL;athletics
10;thibaut vallette;FRA;equestrian
11;bakshi gleb;ROC;boxing
12;kim tillie;FRA;basketball
13;susanne hahn;DEU;athletics
14;camilla kruger;ZIM;equestrian
15;reiko shiota;JPN;badminton
16;patel maana patel;IND;swimming
17;viktoria madarasz;HUN;athletics
18;graciela martins;GNB;athletics
19;layes abdullayeva;AZE;athletics
20;jorge campos;CUB;table tennis
21;cayla george;AUS;basketball
22;martynychev kirill;ROC;swimming
23;yoshida tsukasa;JPN;judo
24;kuk hyang kim;PRK;weightlifting
25;cazuo matsumoto;BRA;table tennis
26;egutidze anri;POR;judo
27;yalennis castillo;CUB;judo
28;sergio garcia;ESP;golf
29;marcelo pereira;HON;football
30;anna petrakova;RUS;basketball
31;vera moskalyuk;RUS;judo
32;roe martin;NOR;athletics
33;bessi cedric;MON;judo
34;jakub grigar;SVK;canoe
35;thiel jake;CAN;rugby sevens
36;la roche shae;CAN;water polo
37;davison charley-sian;GBR;boxing
38;irina gordeeva;RUS;athletics
39;fumiyuki beppu;JPN;cycling
40;malagon luis;MEX;football
41;edickson contreras bracho;VEN;diving
42;brzezinski marcin;POL;rowing
43;burkheart ellis jr;BAR;athletics
44;poulin pierre-luc;CAN;canoe
45;patty mills;AUS;basketball
46;heath tobin;USA;football
47;boboc radu;ROU;football
48;aubrey modiba;RSA;football
49;vazquez wesley;PUR;athletics
50;buchmann emanuel;GER;cycling
51;carini angela;ITA;boxing
52;samyr laine;HTI;athletics
53;maritza poncio;GUA;athletics
54;ramirez fernanda;CHI;football
55;joanne morgan;GBR;volleyball
56;udoh ekpe;NGR;basketball
57;lyudmyla yosypenko;UKR;athletics
58;pui yin yip;HKG;badminton
59;gabriela dabrowski;CAN;tennis
60;bilisuma shugi;BHR;athletics
61;nemich alexandra;KAZ;swimming
62;hajar alkhaldi;BRN;athletics
63;mohamed moustaoui;MAR;athletics
64;michele frangilli;ITA;archery
65;hanna hatsko-fedusova;UKR;athletics
66;aliaksei mzhachyk;BLR;weightlifting
67;ouedraogo angelika;BUR;swimming
68;ysaora thibus;FRA;fencing
69;guerdat steve;SUI;equestrian
70;acosta marcelo;ESA;swimming
71;loktev denis;ISR;swimming
72;tim maeyens;BEL;rowing
73;david joao serralheiro rosa;POR;cycling
74;licet hernandez;CUB;rowing
75;davide manenti;ITA;athletics
76;takato naohisa;JPN;judo
77;kim su ji;KOR;volleyball
78;jorge y fernandez;CUB;athletics
79;trajkovic milan;CYP;athletics
