total_mentions;total_followers;total_medals;year;participant_id
21399;19999;0;2020;1
20434;18166;0;2020;2
16563;17992;0;2020;3
28145;14563;0;2012;4
25572;20416;0;2020;5
28707;28035;0;2012;6
28335;31642;0;2020;7
19385;26248;0;2020;8
19244;27740;0;2020;9
15341;25316;1;2016;10
21852;21643;1;2020;11
23464;23370;0;2016;12
18655;27142;0;2012;13
21111;27695;0;2016;14
27680;27880;0;2012;15
22804;16883;0;2020;16
20216;16231;0;2016;17
22733;25696;0;2012;17
27760;26367;0;2012;18
17359;20882;0;2012;19
28811;20110;0;2016;20
16257;23824;0;2016;21
18122;23810;0;2020;22
26731;16268;1;2020;23
26292;21652;0;2016;24
23611;17766;0;2016;25
21341;30159;0;2020;26
20703;20187;0;2016;27
20761;23424;0;2016;28
25553;18583;0;2016;29
16485;18155;0;2012;30
22455;13933;0;2012;31
22383;18829;0;2020;32
25928;24736;0;2020;33
21359;24752;0;2016;34
26618;26695;0;2020;35
17883;21059;0;2020;36
29868;21098;0;2012;38
19197;20686;0;2012;39
29879;20300;0;2012;41
22982;24543;0;2020;42
16769;25677;0;2016;43
24526;27506;0;2020;44
25587;17610;0;2016;45
18100;15761;0;2020;46
18615;18764;0;2020;47
17266;22074;0;2016;48
19337;20497;0;2020;49
20634;21902;0;2020;50
26009;20491;0;2012;52
29281;19195;0;2016;53
20741;24148;0;2020;54
24676;27315;0;2012;55
29938;16954;0;2020;56
25556;15649;0;2012;57
20180;23618;0;2016;58
19331;27749;0;2012;58
18351;27895;0;2016;59
18706;17722;0;2012;60
19643;15240;0;2020;61
20951;17121;0;2016;62
22475;25482;0;2012;63
29987;19227;1;2012;64
26740;30516;0;2016;65
27755;28843;0;2016;66
24578;21639;0;2020;67
29782;19657;0;2016;68
28650;29805;0;2012;68
27360;14616;0;2020;69
25963;25457;0;2020;70
15599;23742;0;2020;71
27762;24034;0;2012;72
18843;26506;0;2016;73
20316;19859;0;2012;73
22124;22867;0;2016;74
26987;19301;0;2016;75
25486;22623;0;2012;75
19075;23905;1;2020;76
27930;17073;0;2020;77
23016;31853;0;2012;78
24947;27748;0;2020;79
27536;17820;0;2020;80
27949;19462;0;2016;81
19460;19358;0;2012;81
22395;15473;0;2016;82
17315;27963;0;2012;82
24001;32355;0;2012;83
19241;24507;0;2016;84
29813;20057;0;2016;85
23526;27299;0;2020;86
25592;18359;0;2020;87
17625;27824;0;2012;89
21638;21851;0;2016;90
28228;25093;0;2016;91
19805;20890;0;2016;92
22044;24113;0;2020;93
28653;17932;0;2012;94
